"sample" "pop" "lat" "lon" "ID" "Annual_Mean_Temperature" "Mean_Diurnal_Range" "Isothermality" "Temperature_Seasonality" "Max_Temperature_of_Warmest_Month" "Min_Temperature_of_Coldest_Month" "Temperature_Annual_Range" "Mean_Temperature_of_Wettest_Quarter" "Mean_Temperature_of_Driest_Quarter" "Mean_Temperature_of_Warmest_Quarter" "Mean_Temperature_of_Coldest_Quarter" "Annual_Precipitation" "Precipitation_of_Wettest_Month" "Precipitation_of_Driest_Month" "Precipitation_Seasonality" "Precipitation_of_Wettest_Quarter" "Precipitation_of_Driest_Quarter" "Precipitation_of_Warmest_Quarter" "Precipitation_of_Coldest_Quarter"
1158 "SWE" 56.7 16.5167 11 7.05220746994019 7.44208431243896 29.2854499816895 659.27490234375 21.3855800628662 -4.02664566040039 25.4122257232666 14.8753395080566 1.58510982990265 15.6067399978638 -0.446917444467545 531 57 32 19.0135822296143 160 102 149 124
1166 "SWE" 56.7047 16.5215 12 7.05220746994019 7.44208431243896 29.2854499816895 659.27490234375 21.3855800628662 -4.02664566040039 25.4122257232666 14.8753395080566 1.58510982990265 15.6067399978638 -0.446917444467545 531 57 32 19.0135822296143 160 102 149 124
1254 "SWE" 59.4333 17.0167 13 6.31218767166138 7.58991670608521 27.1991271972656 739.884765625 21.6582508087158 -6.24674987792969 27.9050006866455 14.6840419769287 -1.89270830154419 15.8355417251587 -2.35479164123535 527 67 23 30.1616668701172 180 85 179 98
1317 "SWE" 59.5718 16.8719 14 6.1967601776123 7.88493776321411 27.6230735778809 752.577575683594 21.9360008239746 -6.6087498664856 28.544750213623 14.6487922668457 -2.12066650390625 15.8702087402344 -2.66308331489563 532 70 24 31.5810947418213 185 87 184 98
1552 "SWE" 63.0833 18.3667 15 3.11319208145142 7.79482269287109 26.2100124359131 788.920837402344 19.4495010375977 -10.2903652191162 29.7398662567139 3.34750819206238 1.67392027378082 13.4245290756226 -5.99318933486938 708 84 35 28.6744174957275 233 121 204 150
5830 "SWE" 56.3333 15.9667 16 7.23143863677979 6.39603281021118 27.5126514434814 632.846130371094 20.3925533294678 -2.85505318641663 23.2476062774658 8.13408660888672 5.2816047668457 15.4026155471802 0.107446812093258 589 63 34 19.3857383728027 178 110 153 148
5831 "SWE" 56.3462 15.9797 17 7.00414562225342 6.99366664886475 28.8752880096436 642.829345703125 20.7670001983643 -3.45324993133545 24.2202491760254 7.74345827102661 1.67075002193451 15.3217086791992 -0.274833351373672 608 63 35 18.4787044525146 181 116 162 149
5832 "SWE" 56.3464 15.9799 18 7.00414562225342 6.99366664886475 28.8752880096436 642.829345703125 20.7670001983643 -3.45324993133545 24.2202491760254 7.74345827102661 1.67075002193451 15.3217086791992 -0.274833351373672 608 63 35 18.4787044525146 181 116 162 149
5836 "SWE" 55.86 13.51 19 7.22382307052612 6.88756275177002 29.0608310699463 636.467102050781 20.6517505645752 -3.04874992370605 23.7005004882812 4.13875007629395 5.88695859909058 15.3393335342407 -0.161249995231628 779 82 45 20.2655944824219 240 149 195 200
5856 "SWE" 63.0167 17.4914 20 2.72807288169861 8.79893779754639 27.252893447876 847.188781738281 20.1627502441406 -12.1234998703003 32.2862510681152 12.0811672210693 -3.0680832862854 13.5519170761108 -7.48133325576782 591 78 27 33.1169509887695 213 93 205 110
